date,likes,replies,retweets,source,tweet,ai_reply,time_of_day,month,tweet_sent,tweet_score,reply_sent,reply_score
2022-12-09 03:12:43+00:00,28684,242,4672,Twitter for iPhone,free the s,I'm not sure if you're being sarcastic or not.,night,December,negative,0.6877650022506714,negative,0.4911975562572479
2022-11-09 00:19:52+00:00,86478,384,9377,Twitter for iPhone,rip 1youngtakeoff. real & solid,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",night,November,positive,0.546040415763855,negative,0.681525707244873
2022-11-03 20:02:16+00:00,1274,83,128,Twitter for iPhone,go u fndadealer,I'm not a fndadealer,evening,November,positive,0.808689534664154,neutral,0.5786018371582031
2022-10-27 17:38:37+00:00,140414,1244,16640,Twitter for iPhone,jeffery has reportedly cut ties with young thug.,I heard he's going to be a rapper.,evening,October,neutral,0.8631637692451477,neutral,0.8571816682815552
2022-10-19 01:26:00+00:00,14152,184,2001,Twitter for iPhone,jharden13 get the ring this year,I'll try,night,October,positive,0.6243955492973328,positive,0.5065224170684814
2022-10-15 21:42:54+00:00,23064,353,1170,Twitter for iPhone,  x  r  a,,night,October,neutral,0.9170321226119995,NA,NA
2022-10-10 23:25:45+00:00,23149,294,1461,Twitter for iPhone,wham if you dont drop in 3 days we aint bruddas ,I'm in.,night,October,neutral,0.6228677034378052,neutral,0.532194972038269
2022-10-08 14:56:21+00:00,31134,377,1054,Twitter for iPhone,this nigga geoff just clearing shit ,I'm not Geoff.,afternoon,October,negative,0.8830702900886536,neutral,0.675895631313324
2022-09-22 16:51:34+00:00,101054,1364,5406,Twitter for iPhone,mmm  ,I'm not sure if you're being serious or not.,afternoon,September,neutral,0.5619098544120789,negative,0.500285804271698
2022-09-13 18:02:42+00:00,84274,423,2955,Twitter for iPhone,r.i.p. lil bruh. love 5life ,"I'm not sure if you're serious, but I love you.",evening,September,positive,0.868425726890564,positive,0.8129286170005798
2022-09-12 21:40:13+00:00,197520,2425,14261,Twitter for iPhone,aye send me this photo. im tryna do something right fast ,I'll send you a pic when I get home from work,night,September,neutral,0.5646415948867798,neutral,0.8054121136665344
2022-09-09 20:47:58+00:00,15217,223,1218,Twitter for iPhone,new nav trimm  ,"I'm not sure what you're trying to say, but I'm not sure what you're trying to say either.",evening,September,positive,0.7819381356239319,negative,0.7615373730659485
2022-09-06 18:13:18+00:00,115941,3863,13089,Twitter for iPhone,have you ever fucked a girl that was so wetgood that you slapped the back of her neck,I have. I was in a relationship with a girl that was so wetgood that I slapped the back of her neck.,evening,September,neutral,0.5266166925430298,negative,0.5396568775177002
2022-08-31 20:23:32+00:00,47412,440,2814,Twitter for iPhone,how long do you think it would take ,I think it would take about a week.,evening,August,neutral,0.9366263151168823,neutral,0.8556078672409058
2022-08-31 18:31:32+00:00,145114,1644,12580,Twitter for iPhone,im talking with my roommate and were wondering if you could swim 100 miles from the middle of the ocean back to shore  michaelphelps ,I can't swim 100 miles from the middle of the ocean back to shore.,evening,August,neutral,0.8323708176612854,negative,0.648294985294342
2022-08-31 00:43:41+00:00,51236,759,2886,Twitter for iPhone,i love me some mrs. spider ,I love me some mrs. spider,night,August,positive,0.9747057557106018,positive,0.9659726619720459
2022-08-18 21:38:10+00:00,59473,785,4581,Twitter for iPhone,still muh birthday doe lol,Happy birthday!,night,August,positive,0.8735977411270142,positive,0.9789436459541321
2022-08-18 21:36:44+00:00,91212,1527,8174,Twitter for iPhone,,,night,August,negative,0.6432451009750366,NA,NA
2022-08-18 01:05:02+00:00,130865,1878,11410,Twitter for iPhone,still muh birthday ,Happy birthday!,night,August,negative,0.5635977387428284,positive,0.9789436459541321
2022-05-02 19:38:43+00:00,3366,379,219,Twitter for iPhone,summer jam   ,"I'm not sure if you're serious, but I'm pretty sure that's a real thing.",evening,May,positive,0.9614720344543457,neutral,0.5868633985519409
