,Unnamed: 0,date,likes,replies,retweets,source,tweet,sentiment,ai_reply,reply_sentiment
0,0,2022-12-09 03:12:43+00:00,28684,242,4672,Twitter for iPhone,free the s,"[{'label': 'negative', 'score': 0.6877650022506714}]",I'm not sure if you're being sarcastic or not.,"[{'label': 'negative', 'score': 0.4911975562572479}]"
1,1,2022-11-09 00:19:52+00:00,86478,384,9377,Twitter for iPhone,rip 1youngtakeoff. real & solid,"[{'label': 'positive', 'score': 0.546040415763855}]","I'm not sure if you're serious, but I'm pretty sure that's a joke.","[{'label': 'negative', 'score': 0.681525707244873}]"
2,2,2022-11-03 20:02:16+00:00,1274,83,128,Twitter for iPhone,go u fndadealer,"[{'label': 'positive', 'score': 0.808689534664154}]",I'm not a fndadealer,"[{'label': 'neutral', 'score': 0.5786018371582031}]"
3,3,2022-10-27 17:38:37+00:00,140414,1244,16640,Twitter for iPhone,jeffery has reportedly cut ties with young thug.,"[{'label': 'neutral', 'score': 0.8631637692451477}]",I heard he's going to be a rapper.,"[{'label': 'neutral', 'score': 0.8571816682815552}]"
4,4,2022-10-19 01:26:00+00:00,14152,184,2001,Twitter for iPhone,jharden13 get the ring this year,"[{'label': 'positive', 'score': 0.6243955492973328}]",I'll try,"[{'label': 'positive', 'score': 0.5065224170684814}]"
5,5,2022-10-15 21:42:54+00:00,23064,353,1170,Twitter for iPhone,  x  r  a,"[{'label': 'neutral', 'score': 0.9170321226119995}]",,NA
6,6,2022-10-10 23:25:45+00:00,23149,294,1461,Twitter for iPhone,wham if you dont drop in 3 days we aint bruddas ,"[{'label': 'neutral', 'score': 0.6228677034378052}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
7,7,2022-10-08 14:56:21+00:00,31134,377,1054,Twitter for iPhone,this nigga geoff just clearing shit ,"[{'label': 'negative', 'score': 0.8830702900886536}]",I'm not Geoff.,"[{'label': 'neutral', 'score': 0.675895631313324}]"
8,8,2022-09-22 16:51:34+00:00,101054,1364,5406,Twitter for iPhone,mmm  ,"[{'label': 'neutral', 'score': 0.5619098544120789}]",I'm not sure if you're being serious or not.,"[{'label': 'negative', 'score': 0.500285804271698}]"
9,9,2022-09-13 18:02:42+00:00,84274,423,2955,Twitter for iPhone,r.i.p. lil bruh. love 5life ,"[{'label': 'positive', 'score': 0.868425726890564}]","I'm not sure if you're serious, but I love you.","[{'label': 'positive', 'score': 0.8129286170005798}]"
10,10,2022-09-12 21:40:13+00:00,197520,2425,14261,Twitter for iPhone,aye send me this photo. im tryna do something right fast ,"[{'label': 'neutral', 'score': 0.5646415948867798}]",I'll send you a pic when I get home from work,"[{'label': 'neutral', 'score': 0.8054121136665344}]"
11,11,2022-09-09 20:47:58+00:00,15217,223,1218,Twitter for iPhone,new nav trimm  ,"[{'label': 'positive', 'score': 0.7819381356239319}]","I'm not sure what you're trying to say, but I'm not sure what you're trying to say either.","[{'label': 'negative', 'score': 0.7615373730659485}]"
12,12,2022-09-06 18:13:18+00:00,115941,3863,13089,Twitter for iPhone,have you ever fucked a girl that was so wetgood that you slapped the back of her neck,"[{'label': 'neutral', 'score': 0.5266166925430298}]",I have. I was in a relationship with a girl that was so wetgood that I slapped the back of her neck.,"[{'label': 'negative', 'score': 0.5396568775177002}]"
