date,likes,replies,retweets,source,tweet,sentiment,ai_reply
2022-12-09 03:12:43+00:00,28684,242,4672,Twitter for iPhone,free the s,"[{'label': 'negative', 'score': 0.6877650022506714}]","Conversation id: 3e7d17d0-0fd8-4e41-a526-f368a1926f1d 
user >> free the s 
bot >> I'm not sure if you're being sarcastic or not. 
"
2022-11-09 00:19:52+00:00,86478,384,9377,Twitter for iPhone,rip 1youngtakeoff. real & solid,"[{'label': 'positive', 'score': 0.546040415763855}]","Conversation id: 576502e9-f958-4302-8a4c-6465ba716051 
user >> rip 1youngtakeoff. real & solid 
bot >> I'm not sure if you're serious, but I'm pretty sure that's a joke. 
"
2022-11-03 20:02:16+00:00,1274,83,128,Twitter for iPhone,go u fndadealer,"[{'label': 'positive', 'score': 0.808689534664154}]","Conversation id: e019c108-302b-4309-b324-a5f9ccfa1e4a 
user >> go u fndadealer 
bot >> I'm not a fndadealer 
"
2022-10-27 17:38:37+00:00,140414,1244,16640,Twitter for iPhone,jeffery has reportedly cut ties with young thug.,"[{'label': 'neutral', 'score': 0.8631637692451477}]","Conversation id: 7eca53e0-0cf2-473d-9c9d-28dcce2d50ed 
user >> jeffery has reportedly cut ties with young thug. 
bot >> I heard he's going to be a rapper. 
"
2022-10-19 01:26:00+00:00,14152,184,2001,Twitter for iPhone,jharden13 get the ring this year,"[{'label': 'positive', 'score': 0.6243955492973328}]","Conversation id: a7afa736-f22e-49d2-83cf-b86712beb10e 
user >> jharden13 get the ring this year 
bot >> I'll try 
"
2022-10-15 21:42:54+00:00,23064,353,1170,Twitter for iPhone,  x  r  a,"[{'label': 'neutral', 'score': 0.9170321226119995}]","Conversation id: 7b851e5e-167c-4a3b-8724-de7bf36c6e82 
user >>   x  r  a 
bot >>  
"
2022-10-10 23:25:45+00:00,23149,294,1461,Twitter for iPhone,wham if you dont drop in 3 days we aint bruddas ,"[{'label': 'neutral', 'score': 0.6228677034378052}]","Conversation id: c44bf05d-d145-4f39-b2a8-5d615e4c86bf 
user >> wham if you dont drop in 3 days we aint bruddas  
bot >> I'm in. 
"
2022-10-08 14:56:21+00:00,31134,377,1054,Twitter for iPhone,this nigga geoff just clearing shit ,"[{'label': 'negative', 'score': 0.8830702900886536}]","Conversation id: f00a3cba-69e9-4799-863b-4740efb0ba1e 
user >> this nigga geoff just clearing shit  
bot >> I'm not Geoff. 
"
2022-09-22 16:51:34+00:00,101054,1364,5406,Twitter for iPhone,mmm  ,"[{'label': 'neutral', 'score': 0.5619098544120789}]","Conversation id: 5c9f4200-6bd1-43e4-9c27-29d664655d2e 
user >> mmm   
bot >> I'm not sure if you're being serious or not. 
"
2022-09-13 18:02:42+00:00,84274,423,2955,Twitter for iPhone,r.i.p. lil bruh. love 5life ,"[{'label': 'positive', 'score': 0.868425726890564}]","Conversation id: 81dd0b16-4f00-4e68-8a68-713f79e21c2c 
user >> r.i.p. lil bruh. love 5life  
bot >> I'm not sure if you're serious, but I love you. 
"
2022-09-12 21:40:13+00:00,197520,2425,14261,Twitter for iPhone,aye send me this photo. im tryna do something right fast ,"[{'label': 'neutral', 'score': 0.5646415948867798}]","Conversation id: 0501cc58-b096-4108-8e35-cdd7bc6d0283 
user >> aye send me this photo. im tryna do something right fast  
bot >> I'll send you a pic when I get home from work 
"
2022-09-09 20:47:58+00:00,15217,223,1218,Twitter for iPhone,new nav trimm  ,"[{'label': 'positive', 'score': 0.7819381356239319}]","Conversation id: 325a330b-6856-4767-98b4-d582eedb0c5b 
user >> new nav trimm   
bot >> I'm not sure what you're trying to say, but I'm not sure what you're trying to say either. 
"
2022-09-06 18:13:18+00:00,115941,3863,13089,Twitter for iPhone,have you ever fucked a girl that was so wetgood that you slapped the back of her neck,"[{'label': 'neutral', 'score': 0.5266166925430298}]","Conversation id: 88b45bb3-2689-4aef-b591-a605f49dd55f 
user >> have you ever fucked a girl that was so wetgood that you slapped the back of her neck 
bot >> I have. I was in a relationship with a girl that was so wetgood that I slapped the back of her neck. 
"
2022-08-31 20:23:32+00:00,47412,440,2814,Twitter for iPhone,how long do you think it would take ,"[{'label': 'neutral', 'score': 0.9366263151168823}]","Conversation id: d57eb67e-c23a-4b6e-92f9-e53843c9b064 
user >> how long do you think it would take  
bot >> I think it would take about a week. 
"
2022-08-31 18:31:32+00:00,145114,1644,12580,Twitter for iPhone,im talking with my roommate and were wondering if you could swim 100 miles from the middle of the ocean back to shore  michaelphelps ,"[{'label': 'neutral', 'score': 0.8323708176612854}]","Conversation id: d696bc05-3726-49b4-a979-52679a7b7489 
user >> im talking with my roommate and were wondering if you could swim 100 miles from the middle of the ocean back to shore  michaelphelps  
bot >> I can't swim 100 miles from the middle of the ocean back to shore. 
"
2022-08-31 00:43:41+00:00,51236,759,2886,Twitter for iPhone,i love me some mrs. spider ,"[{'label': 'positive', 'score': 0.9747057557106018}]","Conversation id: deaddf1c-f1c4-4671-bf19-be72607ee91b 
user >> i love me some mrs. spider  
bot >> I love me some mrs. spider 
"
2022-08-18 21:38:10+00:00,59473,785,4581,Twitter for iPhone,still muh birthday doe lol,"[{'label': 'positive', 'score': 0.8735977411270142}]","Conversation id: 70e1bdf4-2d24-4e61-ae65-d10fb7bcd236 
user >> still muh birthday doe lol 
bot >> Happy birthday! 
"
2022-08-18 21:36:44+00:00,91212,1527,8174,Twitter for iPhone,,"[{'label': 'negative', 'score': 0.6432451009750366}]",NA
2022-08-18 01:05:02+00:00,130865,1878,11410,Twitter for iPhone,still muh birthday ,"[{'label': 'negative', 'score': 0.5635977387428284}]","Conversation id: d6eb18fe-7479-4ac2-b0a8-47ad676a7012 
user >> still muh birthday  
bot >> Happy birthday! 
"
2022-05-02 19:38:43+00:00,3366,379,219,Twitter for iPhone,summer jam   ,"[{'label': 'positive', 'score': 0.9614720344543457}]","Conversation id: c1c47431-72e2-4b5d-8c89-b94d57188b17 
user >> summer jam    
bot >> I'm not sure if you're serious, but I'm pretty sure that's a real thing. 
"
2022-04-01 19:04:35+00:00,84,7,17,Twitter for iPhone,tshyne time. confetti nights ,"[{'label': 'neutral', 'score': 0.842738926410675}]","Conversation id: f01d6c41-7339-4dfe-be20-278bed8f676f 
user >> tshyne time. confetti nights  
bot >> I'm not sure if I should be happy or sad that I got to see this. 
"
2022-03-07 19:05:10+00:00,1522,250,127,Twitter for iPhone,pushin  at sxsw w 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.7939600348472595}]","Conversation id: c87b8646-d239-48c7-9ee9-b557c87c5783 
user >> pushin  at sxsw w 1gunnagunna   
bot >> I'm not sure if you're serious or not, but I'm going to assume you're serious. 
"
2022-02-28 22:25:31+00:00,72086,525,16345,Twitter for iPhone,just here saying that i miss u ,"[{'label': 'positive', 'score': 0.7721670269966125}]","Conversation id: 8e3b39de-4152-4cd4-afc6-6c72dadc35c1 
user >> just here saying that i miss u  
bot >> I miss you too 
"
2022-02-19 22:07:48+00:00,87558,1315,16192,Twitter for iPhone,im lost,"[{'label': 'negative', 'score': 0.48143088817596436}]","Conversation id: 484a7da9-48d3-41d4-b0e4-e6c4b2831bd3 
user >> im lost 
bot >> I'm lost too. 
"
2022-02-19 22:07:37+00:00,49670,1204,1958,Twitter for iPhone,y am i trending,"[{'label': 'neutral', 'score': 0.6596286296844482}]","Conversation id: f582cbb0-1dc7-42e5-8a65-68685078e988 
user >> y am i trending 
bot >> Because you're a good person. 
"
2022-02-05 17:46:59+00:00,45700,722,4850,Twitter for iPhone,glad i aint ever fucked with no broke women ,"[{'label': 'negative', 'score': 0.4805368483066559}]","Conversation id: a3cad520-84f6-4792-a99b-c8a69cdf9adf 
user >> glad i aint ever fucked with no broke women  
bot >> I'm glad I'm not a woman. 
"
2022-01-28 19:07:34+00:00,4267,240,461,Twitter for iPhone, yungkayo  ,"[{'label': 'neutral', 'score': 0.4740835130214691}]","Conversation id: 064cbcd0-c02f-494d-bd99-7f95e49bfb17 
user >>  yungkayo   
bot >> Yungkayo is a good one, but I think he's a bit too young for this. 
"
2022-01-23 00:44:44+00:00,100584,1028,9865,Twitter for iPhone,i miss u so so sooo much mommy,"[{'label': 'positive', 'score': 0.5185695886611938}]","Conversation id: 1d772720-a66a-4dee-b409-ace21e4ad8f6 
user >> i miss u so so sooo much mommy 
bot >> I miss you too, honey. 
"
2022-01-16 19:46:03+00:00,5669,183,471,Twitter for iPhone,gm now this is  ,"[{'label': 'positive', 'score': 0.8930810689926147}]","Conversation id: f79d05b9-8023-471c-a4dd-1a45813f60ff 
user >> gm now this is   
bot >> I'm not sure if you're being sarcastic or not, but I'm pretty sure this is a joke. 
"
2022-01-15 18:38:30+00:00,2483,108,254,Twitter for iPhone,feed the fam  tshyne  ,"[{'label': 'positive', 'score': 0.5238368511199951}]","Conversation id: ffd1faac-a0b6-40b6-8c1a-4aa4f95c269f 
user >> feed the fam  tshyne   
bot >> I'm not sure if you're being serious or not, but I'm pretty sure that's a reference to the movie The Big Lebowski. 
"
2022-01-14 20:07:26+00:00,4209,104,240,Twitter for iPhone, island. 7pm 1gunnagunna ,"[{'label': 'neutral', 'score': 0.9244830012321472}]","Conversation id: b77b364c-efe7-4b03-94c2-2bfdd5852e86 
user >>  island. 7pm 1gunnagunna  
bot >> I'm in. 
"
2022-01-14 02:34:05+00:00,1084,58,94,Twitter for iPhone,feed the fam tomorrow tshyne ,"[{'label': 'neutral', 'score': 0.7757682204246521}]","Conversation id: d8829c1a-72b9-4048-89f5-0ae55e88bce7 
user >> feed the fam tomorrow tshyne  
bot >> I'm not sure if I should be proud or ashamed that I got this reference. 
"
2022-01-14 02:33:19+00:00,2198,55,194,Twitter for iPhone,the yungest yungkayo dftk 2422 ,"[{'label': 'neutral', 'score': 0.5875760912895203}]","Conversation id: 9288f0d4-d194-4cd3-9489-d5e2bfa52164 
user >> the yungest yungkayo dftk 2422  
bot >> I'm not sure if you're serious, but I'm pretty sure that's a bot. 
"
2022-01-13 23:16:38+00:00,3759,119,511,Twitter for iPhone,  ower  ,"[{'label': 'neutral', 'score': 0.903984546661377}]","Conversation id: 37a0391f-8bdc-4e09-b47b-9f9ca15a9eb6 
user >>   ower   
bot >> I'm not sure if you're being serious or not. 
"
2022-01-13 19:46:00+00:00,15690,224,908,Twitter for iPhone,s only ,"[{'label': 'neutral', 'score': 0.9060631394386292}]","Conversation id: 167db87a-e763-4ef6-9edd-02cf009e25b8 
user >> s only  
bot >> I'm sorry, I'm not a native English speaker. 
"
2022-01-12 21:41:22+00:00,15620,257,2245,Twitter for iPhone,alex aint  out now ,"[{'label': 'neutral', 'score': 0.7357026934623718}]","Conversation id: c4dca0cc-a246-4e8d-82c1-f3019dc08d5d 
user >> alex aint  out now  
bot >> He's out for the rest of the season. 
"
2022-01-07 19:00:19+00:00,3268,72,413,Twitter for iPhone,too easy   ,"[{'label': 'neutral', 'score': 0.6090505123138428}]","Conversation id: d2c6b212-e6b5-435c-8627-1e09cb3d4c70 
user >> too easy    
bot >> I'm not sure if you're being serious or not. 
"
2022-01-07 05:08:00+00:00,6420,108,1100,Twitter for iPhone,4ever   ,"[{'label': 'neutral', 'score': 0.6955705285072327}]","Conversation id: c1f73148-6ed9-49b9-b859-9984ffbc0396 
user >> 4ever    
bot >> I'm sorry, I don't speak Japanese. 
"
2022-01-04 20:17:48+00:00,35652,176,4212,Twitter for iPhone,ds4 ever the fourth and final installment 1722 1gunnagunna ,"[{'label': 'neutral', 'score': 0.8176572322845459}]","Conversation id: 3499eb42-6767-4ed5-9402-3852b7bdea7e 
user >> ds4 ever the fourth and final installment 1722 1gunnagunna  
bot >> I'm not sure if you're serious or not, but I'm going to assume you're serious. 
"
2022-01-02 02:38:22+00:00,9958,114,1916,Twitter for iPhone,ds4 1722 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.8896850347518921}]","Conversation id: d3eadf40-0871-4f61-a72c-886880eb6ee5 
user >> ds4 1722 1gunnagunna   
bot >> I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure. 
"
2021-12-27 02:25:09+00:00,1123,39,87,Twitter for iPhone,live tonight. virtual reality punk   oculus superspherevr  ,"[{'label': 'positive', 'score': 0.74497389793396}]","Conversation id: ce5fef3d-29de-4a2d-ab77-ebfe5bac12cb 
user >> live tonight. virtual reality punk   oculus superspherevr   
bot >> I'm going to be in the room. 
"
2021-12-17 22:50:11+00:00,1027,50,99,Twitter for iPhone,come watch me perform some new punk in oculus on 1226  superspherevr   ,"[{'label': 'positive', 'score': 0.8673957586288452}]","Conversation id: cdb4ae56-bcf1-4202-a7ab-98c8567a0b19 
user >> come watch me perform some new punk in oculus on 1226  superspherevr    
bot >> I'm in. 
"
2021-12-17 19:42:47+00:00,2128,57,362,Twitter for iPhone,giuseppe zanottis newest. the cobras. gzcobras gzss22   ,"[{'label': 'neutral', 'score': 0.6891567707061768}]","Conversation id: 9621fb45-95ac-41d4-ac73-5a930b9bcc67 
user >> giuseppe zanottis newest. the cobras. gzcobras gzss22    
bot >> I'm not sure if you're serious, but I'm pretty sure that's a joke. 
"
2021-12-07 20:07:28+00:00,789,53,73,Twitter for iPhone,the punk jacket print challenge winners are in. shout out to everyone who entered. cant wait to see this collection come to life. see my second creativecloud challenge at   ,"[{'label': 'positive', 'score': 0.9841655492782593}]","Conversation id: eb34ccc2-b304-4cbf-ab6f-25b22f7f4143 
user >> the punk jacket print challenge winners are in. shout out to everyone who entered. cant wait to see this collection come to life. see my second creativecloud challenge at    
bot >> I'm in! 
"
2021-12-04 01:43:16+00:00,525,44,60,Twitter for iPhone,join me now on clubhouse ,"[{'label': 'neutral', 'score': 0.7221086621284485}]","Conversation id: 74676922-c5f9-4c50-8dd5-2d724ed497f8 
user >> join me now on clubhouse  
bot >> I'm in 
"
2021-11-24 09:27:37+00:00,3467,151,230,Twitter for iPhone,,"[{'label': 'positive', 'score': 0.8589701652526855}]",NA
2021-11-23 21:00:15+00:00,753,40,77,Twitter for iPhone,you still have time to show me how you would create my punk cover art. use creativecloud to remix it. you might win 10k  enter at  ,"[{'label': 'positive', 'score': 0.8912996053695679}]","Conversation id: e754577e-338f-482f-8ab2-0083986f066d 
user >> you still have time to show me how you would create my punk cover art. use creativecloud to remix it. you might win 10k  enter at   
bot >> I'm not sure if you're serious or not, but I'm not sure if you're serious either. 
"
