,Unnamed: 0,date,likes,replies,retweets,source,tweet,sentiment
0,0,2022-12-09 03:12:43+00:00,28684,242,4672,Twitter for iPhone,Free the 🅿️’s,"[{'label': 'negative', 'score': 0.6877650022506714}]"
1,1,2022-11-09 00:19:52+00:00,86478,384,9377,Twitter for iPhone,RIP @1YoungTakeoff. Real &amp; Solid,"[{'label': 'positive', 'score': 0.546040415763855}]"
2,2,2022-11-03 20:02:16+00:00,1274,83,128,Twitter for iPhone,Go U🅿️ @FNDaDealer,"[{'label': 'positive', 'score': 0.808689534664154}]"
3,3,2022-10-27 17:38:37+00:00,140414,1244,16640,Twitter for iPhone,JEFFERY HAS REPORTEDLY CUT TIES WITH YOUNG THUG.,"[{'label': 'neutral', 'score': 0.8631637692451477}]"
4,4,2022-10-19 01:26:00+00:00,14152,184,2001,Twitter for iPhone,@JHarden13 get the ring this year,"[{'label': 'positive', 'score': 0.6243955492973328}]"
5,5,2022-10-15 21:42:54+00:00,23064,353,1170,Twitter for iPhone,👹  x  R 🗡️ A,"[{'label': 'neutral', 'score': 0.9170321226119995}]"
6,6,2022-10-10 23:25:45+00:00,23149,294,1461,Twitter for iPhone,Wham if you don’t drop in 3 days we ain’t bruddas 🍼,"[{'label': 'neutral', 'score': 0.6228677034378052}]"
7,7,2022-10-08 14:56:21+00:00,31134,377,1054,Twitter for iPhone,This nigga Geoff just clearing shit 🤦🏾‍♂️,"[{'label': 'negative', 'score': 0.8830702900886536}]"
8,8,2022-09-22 16:51:34+00:00,101054,1364,5406,Twitter for iPhone,Mmm 👅 https://t.co/vXZhpNKpqG,"[{'label': 'neutral', 'score': 0.5619098544120789}]"
9,9,2022-09-13 18:02:42+00:00,84274,423,2955,Twitter for iPhone,R.I.P. lil bruh. Love 5life 🙏🏾,"[{'label': 'positive', 'score': 0.868425726890564}]"
10,10,2022-09-12 21:40:13+00:00,197520,2425,14261,Twitter for iPhone,Aye send me this photo. I’m tryna do something right fast https://t.co/u246RqbMX6,"[{'label': 'neutral', 'score': 0.5646415948867798}]"
11,11,2022-09-09 20:47:58+00:00,15217,223,1218,Twitter for iPhone,New Nav trimm 🔥 https://t.co/d2T9oSBx5L,"[{'label': 'positive', 'score': 0.7819381356239319}]"
12,12,2022-09-06 18:13:18+00:00,115941,3863,13089,Twitter for iPhone,Have you ever fucked a girl that was so wet/good that you slapped the back of her neck?,"[{'label': 'neutral', 'score': 0.5266166925430298}]"
13,13,2022-08-31 20:23:32+00:00,47412,440,2814,Twitter for iPhone,How long do you think it would take? 🤔,"[{'label': 'neutral', 'score': 0.9366263151168823}]"
14,14,2022-08-31 18:31:32+00:00,145114,1644,12580,Twitter for iPhone,I'm talking with my roommate and we're wondering if you could swim 100 miles from the middle of the ocean back to shore - @MichaelPhelps 🏊‍♂️,"[{'label': 'neutral', 'score': 0.8323708176612854}]"
15,15,2022-08-31 00:43:41+00:00,51236,759,2886,Twitter for iPhone,I love me some Mrs. Spider 🕷,"[{'label': 'positive', 'score': 0.9747057557106018}]"
16,16,2022-08-18 21:38:10+00:00,59473,785,4581,Twitter for iPhone,Still muh birthday doe! lol,"[{'label': 'positive', 'score': 0.8735977411270142}]"
17,17,2022-08-18 21:36:44+00:00,91212,1527,8174,Twitter for iPhone,😢,"[{'label': 'negative', 'score': 0.6432451009750366}]"
18,18,2022-08-18 01:05:02+00:00,130865,1878,11410,Twitter for iPhone,Still muh birthday 💀,"[{'label': 'negative', 'score': 0.5635977387428284}]"
