date,likes,replies,retweets,source,tweet,sentiment
2022-12-09 03:12:43+00:00,28684,242,4672,Twitter for iPhone,free the s,"[{'label': 'negative', 'score': 0.6877650022506714}]"
2022-11-09 00:19:52+00:00,86478,384,9377,Twitter for iPhone,rip 1youngtakeoff. real & solid,"[{'label': 'positive', 'score': 0.546040415763855}]"
2022-11-03 20:02:16+00:00,1274,83,128,Twitter for iPhone,go u fndadealer,"[{'label': 'positive', 'score': 0.808689534664154}]"
2022-10-27 17:38:37+00:00,140414,1244,16640,Twitter for iPhone,jeffery has reportedly cut ties with young thug.,"[{'label': 'neutral', 'score': 0.8631637692451477}]"
2022-10-19 01:26:00+00:00,14152,184,2001,Twitter for iPhone,jharden13 get the ring this year,"[{'label': 'positive', 'score': 0.6243955492973328}]"
2022-10-15 21:42:54+00:00,23064,353,1170,Twitter for iPhone,  x  r  a,"[{'label': 'neutral', 'score': 0.9170321226119995}]"
2022-10-10 23:25:45+00:00,23149,294,1461,Twitter for iPhone,wham if you dont drop in 3 days we aint bruddas ,"[{'label': 'neutral', 'score': 0.6228677034378052}]"
2022-10-08 14:56:21+00:00,31134,377,1054,Twitter for iPhone,this nigga geoff just clearing shit ,"[{'label': 'negative', 'score': 0.8830702900886536}]"
2022-09-22 16:51:34+00:00,101054,1364,5406,Twitter for iPhone,mmm  ,"[{'label': 'neutral', 'score': 0.5619098544120789}]"
2022-09-13 18:02:42+00:00,84274,423,2955,Twitter for iPhone,r.i.p. lil bruh. love 5life ,"[{'label': 'positive', 'score': 0.868425726890564}]"
2022-09-12 21:40:13+00:00,197520,2425,14261,Twitter for iPhone,aye send me this photo. im tryna do something right fast ,"[{'label': 'neutral', 'score': 0.5646415948867798}]"
2022-09-09 20:47:58+00:00,15217,223,1218,Twitter for iPhone,new nav trimm  ,"[{'label': 'positive', 'score': 0.7819381356239319}]"
2022-09-06 18:13:18+00:00,115941,3863,13089,Twitter for iPhone,have you ever fucked a girl that was so wetgood that you slapped the back of her neck,"[{'label': 'neutral', 'score': 0.5266166925430298}]"
2022-08-31 20:23:32+00:00,47412,440,2814,Twitter for iPhone,how long do you think it would take ,"[{'label': 'neutral', 'score': 0.9366263151168823}]"
2022-08-31 18:31:32+00:00,145114,1644,12580,Twitter for iPhone,im talking with my roommate and were wondering if you could swim 100 miles from the middle of the ocean back to shore  michaelphelps ,"[{'label': 'neutral', 'score': 0.8323708176612854}]"
2022-08-31 00:43:41+00:00,51236,759,2886,Twitter for iPhone,i love me some mrs. spider ,"[{'label': 'positive', 'score': 0.9747057557106018}]"
2022-08-18 21:38:10+00:00,59473,785,4581,Twitter for iPhone,still muh birthday doe lol,"[{'label': 'positive', 'score': 0.8735977411270142}]"
2022-08-18 21:36:44+00:00,91212,1527,8174,Twitter for iPhone,,"[{'label': 'negative', 'score': 0.6432451009750366}]"
2022-08-18 01:05:02+00:00,130865,1878,11410,Twitter for iPhone,still muh birthday ,"[{'label': 'negative', 'score': 0.5635977387428284}]"
2022-05-02 19:38:43+00:00,3366,379,219,Twitter for iPhone,summer jam   ,"[{'label': 'positive', 'score': 0.9614720344543457}]"
2022-04-01 19:04:35+00:00,84,7,17,Twitter for iPhone,tshyne time. confetti nights ,"[{'label': 'neutral', 'score': 0.842738926410675}]"
2022-03-07 19:05:10+00:00,1522,250,127,Twitter for iPhone,pushin  at sxsw w 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.7939600348472595}]"
2022-02-28 22:25:31+00:00,72086,525,16345,Twitter for iPhone,just here saying that i miss u ,"[{'label': 'positive', 'score': 0.7721670269966125}]"
2022-02-19 22:07:48+00:00,87558,1315,16192,Twitter for iPhone,im lost,"[{'label': 'negative', 'score': 0.48143088817596436}]"
2022-02-19 22:07:37+00:00,49670,1204,1958,Twitter for iPhone,y am i trending,"[{'label': 'neutral', 'score': 0.6596286296844482}]"
2022-02-05 17:46:59+00:00,45700,722,4850,Twitter for iPhone,glad i aint ever fucked with no broke women ,"[{'label': 'negative', 'score': 0.4805368483066559}]"
2022-01-28 19:07:34+00:00,4267,240,461,Twitter for iPhone, yungkayo  ,"[{'label': 'neutral', 'score': 0.4740835130214691}]"
2022-01-23 00:44:44+00:00,100584,1028,9865,Twitter for iPhone,i miss u so so sooo much mommy,"[{'label': 'positive', 'score': 0.5185695886611938}]"
2022-01-16 19:46:03+00:00,5669,183,471,Twitter for iPhone,gm now this is  ,"[{'label': 'positive', 'score': 0.8930810689926147}]"
2022-01-15 18:38:30+00:00,2483,108,254,Twitter for iPhone,feed the fam  tshyne  ,"[{'label': 'positive', 'score': 0.5238368511199951}]"
